Movie,Clip Name,ID,Sentiment,Model Predicted Sentiment
"Green Book
","Green Book (2018) - Christmas Dinner Scene (10/10) | Movieclips
",tnZ55SLhan4,1,4
"The Dark Knight
","Batman interrogates the Joker | The Dark Knight [4k, HDR]
",jane6C4rIwc,1,1
"The Good, the Bad and the Ugly
","The Good, the Bad and the Ugly - The Final Duel (1966 HD)
",aJCSNIl2Pls,1,1
The Godfather,"""The Godfather 1"" Best Scene HD
",HiCnnsHfadU,1,1
Inception,"Inception (2010) - You're in a Dream Scene (2/10) | Movieclips
",i3-jlhJgU9U,1,1
The Matrix,"Matrix - He Is The One
",Vy7RaQUmOzE,1,1
Star Wars: The Phantom Menace,"Qui-Gon Jinn & Obi-Wan Kenobi vs Darth Maul [4K HDR] - Star Wars: The Phantom Menace
",qo__6MZIg6U,1,1
Back to the Future,"Back to the Future | Marty McFly Plays ""Johnny B. Goode"" and ""Earth Angel""
",T_WSXXPQYeY,1,1
Spider-Man: Across The Spider-Verse,"Miles vs. Spider-Man 2099 Epic Fight Scene - Spider-Man: Across The Spider-Verse (2023)
",PgKF19sUyiI,1,1
Avengers: Endgame,Avengers Endgame Final Battle Scene 4K 60fps 'Avengers Assemble',8gcRTMr-rlg,1,1
Avengers: Infinity War,"Thor Arrives In Wakanda - ""Bring Me Thanos"" Scene | Avengers Infinity War 2018 IMAX Movie Clip HD 4K",ivT0cjLSkPk,1,1
Dune,Dune - Sandworm Fight Scene,GG-olXBQOdY,1,1
Django Unchained,I count six shots scene django unchained,B9tF3KgEdAI,1,1
,,,,
Bullet Train,Bullet Train | The Wolf's Backstory (Bad Bunny),K1WsJuZ6BQU,1,1
Wolf of Wall Street,Wolf Of Wallstreet Matthew McConaughey [FULL SCENE] [HD],wM6exo00T5I,1,1
American Psycho,American Psycho -Business Card Scene,cISYzA36-ZY,2,2
John Wick,John Wick Mass Intro Scene,m6SbrIvATYw,1,1
Shawshank Redemption,Shawshank's redemption ending,zRBl0GPBm4o,1,1
The Warrior,Ending Fight Scene,9xDO7yhPdG8,4,4
Your name,"Your name | Best scenes
",yb7vZA_mL_Y,4,4
Pride and Prejudice,Final Proposal Scene,bFsgLhx9dxg,1,1
Bourne Identity,#1 Trailer,FpKaB5dvQ4g,1,1
Bourne Supremancy,Are you running treadstone,d8wuis9XIEU,1,1
Scent of a woman,Ending Scene,Jd10x8LiuBc,1,1
Once Upon a time in hollywood,Trailer,ELeMaP8EPAA,1,1
Inception,Trailer,YoHD9XEInc0,1,1
Mission:impossible,Mission:impossible 7,avz06PDqDbM,1,1
Mission:Impossible,Mission:Impossible 6,XiHiW4N7-bo,1,1
airplane!,Airplane Classic Scenes,xlDXQdgx_QU,2,2
Blazing Saddles,Blazing Saddles best scene,g2Bp8SqYrnE,2,2
Caddyshack,Best of Caddyshack 1980,NaqGBF9nUb8,2,2
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Dr. Strangelove - Peter Sellers - ""An astonishingly good idea""
",zZct-itCwPE,2,2
Duck Soup,The Mirror Scene - Duck Soup (7/10) Movie CLIP (1933) HD,VKTT-sy0aLg,2,2
"Pulp Fiction
","Pulp Fiction's Funniest Moments
",qMvb5jUMR80,2,2
Modern Times,"Charlie Chaplin - Factory Scene - Modern Times (1936)
",6n9ESFJTnHs,2,2
The Jerk,"The Jerk (1/10) Movie CLIP - Navin's Birthday (1979) HD
",O7why8Xo_RQ,2,2
Stir Crazy,Stir Crazy (1980) - New Cellmate Scene (6/10) | Movieclips,Jd3GwwxFDPY,2,2
Deadpool and Wolverine,Deadpool Vs Wolverine - Car Fight Scene | DEADPOOL & WOLVERINE (2024) Movie CLIP HD,vU8UZTfII-0,2,1
The Flash,The Flash (2023) - Flash Saves the Babies 2 Scene | Movieclips,YFGQJxpkPg4,2,1
Better Call Saul,Jimmy Tricks The Court | Namaste | Better Call Saul,DvkYRhu-TP0,2,2
Breaking Bad,Breaking Bad - Skyler Confronts Jesse Scene (S1E2) | Rotten Tomatoes TV,pTPCHhbMZB0,2,1
The Boys,The Deep saves Dolphin scene | The Boys Season 1,k5jM95yfKBM,2,2
Venom,"Venom: ""Jump""... ""Pussy"" - 2 Scene - Venom (2018) Movie Clip HD",6f8muE0mia4,2,2
The Avengers,"Hulk vs Loki - ""Puny God""- Hulk Smashing Loki - The Avengers | Movie CLIP HD",31ZjnrHR8EA,2,2
Iron Man,Iron-Man 1 | Tony Meets Christine Everhart Scene | Disney+ [2008],3Q5f0QfeMQQ,2,1
Deadpool,Where's Francis? | Deadpool,YlZ1xpm2h1k,2,2
Anchor Man fight scene,Anchor Man fight Scene,ipsPgNEmAXI,2,2
The hangover,Tiger in the washroom,rI3oRil4LHM,2,2
Dumb and dumber,Annoying sound,S4AmLcBLZWY,2,2
Superbad,Mcloving,2HTHPtoNJLk,2,2
airplane!,Shirley,ixljWVyPby0,2,2
Stepbrothers,Drumset,M5ZysX4Eih0,2,2
The Mask,Dance Scene,A8VqdhNnwdY,2,2
Tropic Thunder,Tom Cruise,KnRrvMYNUbI,2,2
Mrs DoubtFire,Cake Scene,7m8_QLnRBFo,2,2
Ted 2,Funny Scenes,8BbUQQo7QtI,2,2
Super Cute Funny Scenes,Funny Scenes,ylUPqeERqO0,2,2
"Orphan
","Orphan | 'Playground' Scene
",bh2bGbUiZng,3,3
"A Quiet Place: Day One
","A Quiet Place (2018) - Beau's Death Scene (1/10) | Movieclips
",4CmmKmlXD9I,3,3
"The Exorcist
","The Exorcist (1973) Priest scene part 2 (1080p HD)
",bWyi3ShHxzM,3,3
"The Texas Chain Saw Massacre
","The Texas Chainsaw Massacre (1974) - The Dinner Scene (4k)
",pm-iurWBNKM,3,3
"Rosemary's Baby
",Rosemary's Baby - What have you done to its eyes?,Kv3p8kIyqLI,3,3
"Insidious
","INSIDIOUS ""The Red Demon"" Clip (2010) James Wan
",CZN6nbd4pB4,3,3
"Paranormal Activity 3
","Paranormal Activity 3 ( best scenes)
",iMcP0pcNpSQ,3,3
Paranormal Activity 2,"The Levitating Baby | Paranormal Activity 2 | CLIP
",8NpNd1WnDdg,3,3
Saw: The Final Chapter,"Saw: The Final Chapter (6/9) Movie CLIP - Speak No Evil (2010) HD
",QEkSX1S4kwg,3,3
The Grudge,The Grudge 3 - scariest scene!,kTn56ofWGmg,3,3
Blair Witch Project,Blair Witch (2016) - Chased by the Witch Scene (9/10) | Movieclips,pVqOcGEbZvo,3,3
A Nightmare on Elm Street,A Nightmare on Elm Street (1984) - Tina's Nightmare Scene (1/10) | Movieclips,HcrTqof683A,3,3
The Shining,The Shining (1980) - Here's Johnny! Scene (7/7) | Movieclips,WDpipB4yehk,3,1
The Thing,The Thing Dog Transformation Scene | The Thing (1982) | Fear,_C9JbK7slrk,3,3
Hereditary,Hereditary - Annie's Possessed Scene (Part One | 1080p),-sM8Jrcbxdc,3,3
Annihilation,Annihilation (2018) - The Mutant Bear Scene (5/10) | Movieclips,Mg0bvyIEHcs,3,3
The Ring,Samara Comes to You - The Ring (8/8) Movie CLIP (2002) HD,hpb2-ZOzc_o,3,3
"The Exorcist
","""The Exorcist"" (1973) – Head Spin",bSxuXQCEC7M,3,3
Hereditary,"""Hereditary"" (2018) – The Decapitation Scene",FWXlG1ObcKM,3,3
Annabelle,Creation,mE2G-t-i1F0,3,3
The Tall man,Follow home,nnrT_zyumAM,3,3
The conjuring,Hide and Clap,JhMWopjJiI8,3,3
Insidiuous,Man behind,CZN6nbd4pB4,3,3
The conjuring,Final Scene,DuigyQQYG5M,3,3
Paranormal Activity,Dragged Out of bed,7PfDjA-3RP4,3,3
The badadook,Bedtime,k5WQZzDRVtw,3,3
Midsommar,Cliff,1Vnghdsjmd0,3,3
Schindler's List,"Schindler's List | ""I Didn't Do Enough""
",W9vj2Wf57rQ,4,4
Grave of the Fireflies,"Grave of the Fireflies (1988) - Best Scene Ever
",R7TqfAHuukI,4,4
Million Dollar Baby,"Maggie's Final Request - Million Dollar Baby (4/5) Movie CLIP (2004) HD
",o4SUU7XoRl8,4,4
Hachi: A Dog's Tale,"HACHIKO- Try not to cry
",b54YYhHIHag,4,4
The Green Mile,"John Coffey's Execution | The Green Mile (1999) | Screen Bites
",CmxArNBJHFQ,4,4
"Philadelphia
","Philadelphia: Andrew's Wake (EMOTIONAL TOM HANKS, DENZEL WASHINGTON SCENE HD CLIP)
",8rYn8j_rbwU,4,4
